Row Labels,Count of country
 Afghanistan,2
 Albania,8
 Argentina,216
 Australia,491
 Austria,60
 Bangladesh,27
 Belgium,1099
 Bermuda,12
 Brazil,172
 Bulgaria,41
 Cambodia,22
 Canada,1663
 Cayman Islands,20
 Chile,71
 China,856
 Colombia,24
 Croatia,23
 Czech Republic,142
 Denmark,206
 Dominican Republic,18
 East Germany,30
 Ecuador,12
 Egypt,30
 Finland,30
 France,2460
 Germany,1346
 Greece,90
 Hong Kong,497
 Hungary,44
 Iceland,44
 India,521
 Indonesia,42
 Iran,76
 Iraq,4
 Ireland,114
 Israel,19
 Italy,353
 Japan,699
 Jordan,86
 Kenya,10
 Latvia,22
 Lebanon,140
 Liechtenstein,27
 Luxembourg,156
 Malawi,24
 Malaysia,72
 Malta,20
 Mexico,299
 Montenegro,20
 Morocco,87
 Nepal,48
 Netherlands,195
 New Zealand,63
 Nicaragua,1
 Norway,152
 Pakistan,45
 Panama,2
 Peru,65
 Poland,165
 Portugal,84
 Qatar,245
 Romania,30
 Russia,34
 Senegal,27
 Serbia,44
 Singapore,207
 Slovakia,20
 Slovenia,47
 South Africa,155
 South Korea,227
 Soviet Union,84
 Spain,608
 Sri Lanka,2
 Sudan,10
 Sweden,416
 Switzerland,177
 Taiwan,49
 Thailand,16
 Turkey,63
 United Arab Emirates,197
 United Kingdom,1898
 United States,4569
 Uruguay,49
 Vatican City,3
 West Germany,60
Argentina,746
Australia,740
Austria,71
Bangladesh,345
Belgium,212
Brazil,691
Bulgaria,102
Cambodia,24
Canada,2111
Chile,297
China,930
Colombia,268
Croatia,20
Czech Republic,64
Denmark,380
Dominican Republic,2
Egypt,808
Finland,22
France,1972
Georgia,54
Germany,1002
Ghana,51
Guatemala,12
Hong Kong,1518
Hungary,51
Iceland,47
India,16973
Indonesia,1047
Iran,22
Ireland,301
Israel,240
Italy,365
Japan,1847
Lebanon,24
Malaysia,230
Mexico,1159
Netherlands,202
New Zealand,186
Nigeria,809
Norway,116
Pakistan,422
Paraguay,52
Peru,72
Philippines,1037
Poland,257
Portugal,42
Romania,98
Russia,56
Saudi Arabia,15
Serbia,47
Singapore,139
Slovenia,3
Somalia,10
South Africa,293
South Korea,1059
Soviet Union,48
Spain,2175
Sweden,55
Switzerland,126
Taiwan,316
Thailand,814
Turkey,1443
United Arab Emirates,251
United Kingdom,4183
United States,26413
Uruguay,50
Venezuela,2
Vietnam,63
(blank),
Grand Total,98206
