show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,day_added,month_added,year_added,duration_minutes,duration_tvshows,content_age
81145628,Movie,Norm of the North: King Sized Adventure,Richard Finn,Alan Marriott,United States,2019-09-09,2019,TV-PG,90 min,Children & Family Movies,"Before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first.",9,9,2019,90.0,0.0,6
80117401,Movie,Jandino: Whatever it Takes,No Director,Jandino Asporaat,United Kingdom,2016-09-09,2016,TV-MA,94 min,Stand-Up Comedy,"Jandino Asporaat riffs on the challenges of raising kids and serenades the audience with a rousing rendition of ""Sex on Fire"" in his comedy show.",9,9,2016,94.0,0.0,9
70234439,TV Show,Transformers Prime,No Director,Peter Cullen,United States,2018-09-08,2013,TV-Y7-FV,1 Season,Kids' TV,"With the help of three human allies, the Autobots once again protect Earth from the onslaught of the Decepticons and their leader, Megatron.",8,9,2018,0.0,1.0,12
80058654,TV Show,Transformers: Robots in Disguise,No Director,Will Friedle,United States,2018-09-08,2016,TV-Y7,1 Season,Kids' TV,"When a prison ship crash unleashes hundreds of Decepticons on Earth, Bumblebee leads a new Autobot force to protect humankind.",8,9,2018,0.0,1.0,9
80125979,Movie,#realityhigh,Fernando Lebrija,Nesta Cooper,United States,2017-09-08,2017,TV-14,99 min,Comedies,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",8,9,2017,99.0,0.0,8
80163890,TV Show,Apaches,No Director,Alberto Ammann,Spain,2017-09-08,2016,TV-MA,1 Season,Crime TV Shows,A young journalist is forced into a life of crime to save his father and family in this series based on the novel by Miguel Sáez Carral.,8,9,2017,0.0,1.0,9
70304989,Movie,Automata,Gabe Ibáñez,Antonio Banderas,Bulgaria,2017-09-08,2014,R,110 min,International Movies,"In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy.",8,9,2017,110.0,0.0,11
80164077,Movie,Fabrizio Copano: Solo pienso en mi,Rodrigo Toro,Fabrizio Copano,Chile,2017-09-08,2017,TV-MA,60 min,Stand-Up Comedy,"Fabrizio Copano takes audience participation to the next level in this stand-up set while reflecting on sperm banks, family WhatsApp groups and more.",8,9,2017,60.0,0.0,8
80117902,TV Show,Fire Chasers,No Director,No Cast,United States,2017-09-08,2017,TV-MA,1 Season,Docuseries,"As California's 2016 fire season rages, brave backcountry firefighters race to put out the flames, protect homes and save lives in this docuseries.",8,9,2017,0.0,1.0,8
70304990,Movie,Good People,Henrik Ruben Genz,James Franco,United States,2017-09-08,2014,R,90 min,Action & Adventure,A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered.,8,9,2017,90.0,0.0,11
80169755,Movie,Joaquín Reyes: Una y no más,José Miguel Contreras,Joaquín Reyes,No Country,2017-09-08,2017,TV-MA,78 min,Stand-Up Comedy,"Comedian and celebrity impersonator Joaquín Reyes decides to be his zesty self for a night of stories about buses, bathroom habits, royalty and more.",8,9,2017,78.0,0.0,8
70299204,Movie,Kidnapping Mr. Heineken,Daniel Alfredson,Jim Sturgess,Netherlands,2017-09-08,2015,R,95 min,Action & Adventure,"When beer magnate Alfred ""Freddy"" Heineken is kidnapped in 1983, his abductors make the largest ransom demand in history.",8,9,2017,95.0,0.0,10
80182480,Movie,Krish Trish and Baltiboy,No Director,Damandeep Singh Baggan,No Country,2017-09-08,2009,TV-Y7,58 min,Children & Family Movies,"A team of minstrels, including a monkey, cat and donkey, narrate folktales from the Indian regions of Rajasthan, Kerala and Punjab.",8,9,2017,58.0,0.0,16
80182483,Movie,Krish Trish and Baltiboy: Battle of Wits,Munjal Shroff,Damandeep Singh Baggan,No Country,2017-09-08,2013,TV-Y7,62 min,Children & Family Movies,"An artisan is cheated of his payment, a lion of his throne and a brother of his inheritance in these three stories of deception and justice.",8,9,2017,62.0,0.0,12
80182596,Movie,Krish Trish and Baltiboy: Best Friends Forever,Munjal Shroff,Damandeep Singh Baggan,No Country,2017-09-08,2016,TV-Y,65 min,Children & Family Movies,"A cat, monkey and donkey team up to narrate folktales about friendship from Northeast India, and the Indian regions of Bihar and Rajasthan.",8,9,2017,65.0,0.0,9
80182482,Movie,Krish Trish and Baltiboy: Comics of India,Tilak Shetty,Damandeep Singh Baggan,No Country,2017-09-08,2012,TV-Y7,61 min,Children & Family Movies,"In three comic-strip-style tales, a boy tries to sell wisdom, a demon is released from captivity, and a king assigns impossible tasks to his minister.",8,9,2017,61.0,0.0,13
80182597,Movie,Krish Trish and Baltiboy: Oversmartness Never Pays,Tilak Shetty,Rishi Gambhir,No Country,2017-09-08,2017,TV-Y7,65 min,Children & Family Movies,"A cat, monkey and donkey learn the consequences of cheating through stories from the Indian regions of Rajasthan, West Bengal and Maharashtra.",8,9,2017,65.0,0.0,8
80182481,Movie,Krish Trish and Baltiboy: Part II,No Director,Damandeep Singh Baggan,No Country,2017-09-08,2010,TV-Y7,58 min,Children & Family Movies,"Animal minstrels narrate stories about a monkey's friendship with a crocodile, two monkeys' foolishness and a villager's encounter with a demon.",8,9,2017,58.0,0.0,15
80182621,Movie,Krish Trish and Baltiboy: The Greatest Trick,Munjal Shroff,Damandeep Singh Baggan,No Country,2017-09-08,2013,TV-Y7,60 min,Children & Family Movies,"The consequences of trickery are explored in stories involving an inconsiderate husband, two greedy courtiers, and a kind man who loses everything.",8,9,2017,60.0,0.0,12
80057969,Movie,Love,Gaspar Noé,Karl Glusman,France,2017-09-08,2015,NR,135 min,Cult Movies,A man in an unsatisfying marriage recalls the details of an intense past relationship with an ex-girlfriend when he gets word that she may be missing.,8,9,2017,135.0,0.0,10
80060297,Movie,Manhattan Romance,Tom O'Brien,Tom O'Brien,United States,2017-09-08,2014,TV-14,98 min,Comedies,A filmmaker working on a documentary about love in modern Manhattan becomes personally entangled in the romantic lives of his subjects.,8,9,2017,98.0,0.0,11
